step,train/loss,train/psnr,val/avg_psnr,val/imagenet-noise_psnr,val/imagenet-noise_ssim
0,0.3169206380844116,13.166547775268555,19.479787826538086,19.479787826538086,0.6070253849029541
1,,,19.49922752380371,19.49922752380371,0.6161996722221375
2,,,19.841278076171875,19.841278076171875,0.6314904093742371
3,,,19.740989685058594,19.740989685058594,0.6274829506874084
4,,,20.05301284790039,20.05301284790039,0.6405104994773865
5,,,19.81708526611328,19.81708526611328,0.6268048286437988
6,,,19.675817489624023,19.675817489624023,0.6243270635604858
7,,,19.83414077758789,19.83414077758789,0.6302064061164856
8,,,19.493738174438477,19.493738174438477,0.6165918111801147
9,,,19.85968589782715,19.85968589782715,0.62905353307724
10,,,19.694936752319336,19.694936752319336,0.6203936338424683
11,,,20.2097110748291,20.2097110748291,0.645798921585083
12,,,19.845661163330078,19.845661163330078,0.6288353204727173
13,,,19.83754539489746,19.83754539489746,0.6286965608596802
14,,,20.064247131347656,20.064247131347656,0.6373375058174133
15,,,20.161029815673828,20.161029815673828,0.6446842551231384
16,,,20.044513702392578,20.044513702392578,0.636759340763092
17,,,19.93419075012207,19.93419075012207,0.6333255767822266
18,,,20.140913009643555,20.140913009643555,0.6449745893478394
19,,,19.878326416015625,19.878326416015625,0.629886269569397
20,,,19.900938034057617,19.900938034057617,0.6342825293540955
21,,,19.595653533935547,19.595653533935547,0.6207635402679443
22,,,19.98289680480957,19.98289680480957,0.6322843432426453
23,,,20.22869300842285,20.22869300842285,0.6447951197624207
24,,,19.91290283203125,19.91290283203125,0.6308262944221497
25,,,19.78384017944336,19.78384017944336,0.6210817694664001
26,,,19.991287231445312,19.991287231445312,0.6346813440322876
27,,,19.974855422973633,19.974855422973633,0.6308122873306274
28,,,19.989383697509766,19.989383697509766,0.6358417272567749
29,,,19.940338134765625,19.940338134765625,0.6279304027557373
30,,,20.019166946411133,20.019166946411133,0.6306605935096741
31,,,19.77251625061035,19.77251625061035,0.6271225214004517
32,,,20.124135971069336,20.124135971069336,0.6352751851081848
33,,,19.99771499633789,19.99771499633789,0.6376359462738037
34,,,19.893962860107422,19.893962860107422,0.6323575377464294
35,,,19.655214309692383,19.655214309692383,0.6202419400215149
36,,,19.96869659423828,19.96869659423828,0.6309605240821838
37,,,20.009870529174805,20.009870529174805,0.6341245770454407
38,,,20.072118759155273,20.072118759155273,0.6376466155052185
39,,,20.101642608642578,20.101642608642578,0.6405600309371948
40,,,19.76384735107422,19.76384735107422,0.6249786615371704
41,,,19.893373489379883,19.893373489379883,0.6309348344802856
42,,,20.05698585510254,20.05698585510254,0.6372039914131165
43,,,20.006046295166016,20.006046295166016,0.6330555081367493
