tag,last_step,last_value,best_min_value,best_step,best_max_value
train/loss,99900,0.175438791513443,0.05324278026819229,23900,
train/psnr,99900,15.54411506652832,,23900,20.12774658203125
val/avg_psnr,99,20.08985137939453,,6,20.735923767089844
val/imagenet-noise_psnr,99,20.08985137939453,,6,20.735923767089844
val/imagenet-noise_ssim,99,0.6674275994300842,,46,0.6815043687820435
