step,train/loss,train/psnr,val/avg_psnr,val/imagenet-noise_psnr,val/imagenet-noise_ssim
0,0.26684391498565674,12.344209671020508,19.621213912963867,19.621213912963867,0.6146191954612732
1,,,19.683700561523438,19.683700561523438,0.6260935664176941
2,,,18.413537979125977,18.413537979125977,0.5823079347610474
3,,,20.598426818847656,20.598426818847656,0.6579447388648987
4,,,19.665328979492188,19.665328979492188,0.6351480484008789
5,,,20.281282424926758,20.281282424926758,0.6595907807350159
6,,,20.735923767089844,20.735923767089844,0.673032283782959
7,,,19.73023796081543,19.73023796081543,0.6220247149467468
8,,,20.117382049560547,20.117382049560547,0.6405302286148071
9,,,19.712444305419922,19.712444305419922,0.647706925868988
10,,,19.646730422973633,19.646730422973633,0.647352397441864
11,,,20.148706436157227,20.148706436157227,0.6602876782417297
12,,,19.68272590637207,19.68272590637207,0.6449297666549683
13,,,20.121665954589844,20.121665954589844,0.6666620969772339
14,,,18.801895141601562,18.801895141601562,0.6101602911949158
15,,,19.968517303466797,19.968517303466797,0.6552062034606934
16,,,20.270601272583008,20.270601272583008,0.6660783886909485
17,,,19.621997833251953,19.621997833251953,0.6385300755500793
18,,,19.412609100341797,19.412609100341797,0.6278806328773499
19,,,20.311594009399414,20.311594009399414,0.659877598285675
20,,,19.755800247192383,19.755800247192383,0.6258928179740906
21,,,19.674606323242188,19.674606323242188,0.6542319655418396
22,,,20.023405075073242,20.023405075073242,0.6625351905822754
23,,,20.23831558227539,20.23831558227539,0.6614880561828613
24,,,20.152076721191406,20.152076721191406,0.6625504493713379
25,,,20.393810272216797,20.393810272216797,0.6692494750022888
26,,,20.05274772644043,20.05274772644043,0.6637337803840637
27,,,20.202117919921875,20.202117919921875,0.6682782173156738
28,,,19.94655418395996,19.94655418395996,0.6480875611305237
29,,,20.52726173400879,20.52726173400879,0.6799685955047607
30,,,20.3771915435791,20.3771915435791,0.6723306179046631
31,,,20.356657028198242,20.356657028198242,0.6665089726448059
32,,,19.60565185546875,19.60565185546875,0.6459895968437195
33,,,19.749467849731445,19.749467849731445,0.6516344547271729
34,,,20.34222984313965,20.34222984313965,0.6469779014587402
35,,,20.0369930267334,20.0369930267334,0.6591423153877258
36,,,19.66830062866211,19.66830062866211,0.641671895980835
37,,,20.129165649414062,20.129165649414062,0.6610245108604431
38,,,19.760499954223633,19.760499954223633,0.6500691771507263
39,,,19.694406509399414,19.694406509399414,0.6358370780944824
40,,,19.761438369750977,19.761438369750977,0.6552398204803467
41,,,20.188209533691406,20.188209533691406,0.6599693894386292
42,,,20.110992431640625,20.110992431640625,0.6670945882797241
43,,,19.736995697021484,19.736995697021484,0.6503087878227234
44,,,19.97803497314453,19.97803497314453,0.655320405960083
45,,,20.2213077545166,20.2213077545166,0.6598674058914185
46,,,20.28815269470215,20.28815269470215,0.6815043687820435
47,,,19.509540557861328,19.509540557861328,0.6398237347602844
48,,,19.546560287475586,19.546560287475586,0.6441240906715393
49,,,19.885671615600586,19.885671615600586,0.6605175733566284
50,,,20.12723159790039,20.12723159790039,0.6585915684700012
51,,,20.124889373779297,20.124889373779297,0.6655624508857727
52,,,20.11305809020996,20.11305809020996,0.6591469645500183
53,,,19.932823181152344,19.932823181152344,0.6592825055122375
54,,,19.404550552368164,19.404550552368164,0.6267778277397156
55,,,20.471799850463867,20.471799850463867,0.677974283695221
56,,,20.456098556518555,20.456098556518555,0.6741474866867065
57,,,20.373029708862305,20.373029708862305,0.6728562116622925
58,,,19.792577743530273,19.792577743530273,0.6500108242034912
59,,,19.970172882080078,19.970172882080078,0.6627499461174011
60,,,20.356334686279297,20.356334686279297,0.6696227788925171
61,,,20.48723602294922,20.48723602294922,0.679754376411438
62,,,20.37468910217285,20.37468910217285,0.6716212034225464
63,,,19.86844825744629,19.86844825744629,0.6612920761108398
64,,,19.980314254760742,19.980314254760742,0.663910448551178
65,,,20.203203201293945,20.203203201293945,0.6688729524612427
66,,,19.958585739135742,19.958585739135742,0.6586090326309204
67,,,20.128053665161133,20.128053665161133,0.6602976322174072
68,,,20.29364776611328,20.29364776611328,0.6754553318023682
69,,,20.357458114624023,20.357458114624023,0.6717848777770996
70,,,20.079303741455078,20.079303741455078,0.6601547002792358
71,,,19.86785125732422,19.86785125732422,0.6609971523284912
72,,,20.198144912719727,20.198144912719727,0.6701282262802124
73,,,20.30540657043457,20.30540657043457,0.6727980375289917
74,,,20.150470733642578,20.150470733642578,0.6660433411598206
75,,,19.987838745117188,19.987838745117188,0.6624566912651062
76,,,19.948232650756836,19.948232650756836,0.6592196226119995
77,,,20.06577491760254,20.06577491760254,0.6679063439369202
78,,,20.015321731567383,20.015321731567383,0.6590496897697449
79,,,20.13348388671875,20.13348388671875,0.6679487824440002
80,,,19.807415008544922,19.807415008544922,0.6545366048812866
81,,,20.204151153564453,20.204151153564453,0.668849766254425
82,,,20.2006893157959,20.2006893157959,0.6682214140892029
83,,,20.073078155517578,20.073078155517578,0.6635680794715881
84,,,20.066492080688477,20.066492080688477,0.6619476079940796
85,,,20.130537033081055,20.130537033081055,0.6637555956840515
86,,,20.088680267333984,20.088680267333984,0.6659684777259827
87,,,20.21785545349121,20.21785545349121,0.668461799621582
88,,,20.00237464904785,20.00237464904785,0.663557767868042
89,,,20.0930233001709,20.0930233001709,0.6665376424789429
90,,,20.030214309692383,20.030214309692383,0.6609223484992981
91,,,20.136341094970703,20.136341094970703,0.6683589220046997
92,,,20.076997756958008,20.076997756958008,0.6643781661987305
93,,,20.069541931152344,20.069541931152344,0.6639330387115479
94,,,20.18735122680664,20.18735122680664,0.6687092185020447
95,,,20.140653610229492,20.140653610229492,0.6672337055206299
96,,,20.00129508972168,20.00129508972168,0.6617819666862488
97,,,20.132658004760742,20.132658004760742,0.6665059924125671
98,,,20.054462432861328,20.054462432861328,0.6642282009124756
99,,,20.08985137939453,20.08985137939453,0.6674275994300842
100,0.1452343463897705,15.3309326171875,,,
200,0.18785648047924042,14.511114120483398,,,
300,0.12031710147857666,17.043521881103516,,,
400,0.16375350952148438,15.140122413635254,,,
500,0.11671730130910873,17.43707847595215,,,
600,0.11039256304502487,16.43695068359375,,,
700,0.11536198109388351,16.892301559448242,,,
