step,train/domain,train/loss,train/psnr,val/avg_psnr,val/imagenet-noise_psnr,val/imagenet-noise_ssim
0,38.0,0.4472031593322754,11.744197845458984,18.784082412719727,18.784082412719727,0.5485951900482178
1,,,,19.636978149414062,19.636978149414062,0.587734043598175
2,,,,19.894439697265625,19.894439697265625,0.609418511390686
3,,,,20.159469604492188,20.159469604492188,0.6280587315559387
4,,,,20.260398864746094,20.260398864746094,0.6389573216438293
5,,,,20.05198097229004,20.05198097229004,0.6319959759712219
6,,,,20.46160125732422,20.46160125732422,0.652079701423645
7,,,,20.498825073242188,20.498825073242188,0.6590810418128967
8,,,,20.518129348754883,20.518129348754883,0.6648380160331726
9,,,,20.32359504699707,20.32359504699707,0.6519191861152649
10,,,,20.597787857055664,20.597787857055664,0.6662883758544922
11,,,,20.448734283447266,20.448734283447266,0.6627159714698792
12,,,,20.719696044921875,20.719696044921875,0.669971227645874
13,,,,20.843379974365234,20.843379974365234,0.6799367666244507
14,,,,20.717641830444336,20.717641830444336,0.6764550805091858
15,,,,20.706298828125,20.706298828125,0.6779098510742188
16,,,,20.990034103393555,20.990034103393555,0.6893385052680969
17,,,,20.78765106201172,20.78765106201172,0.6816350221633911
18,,,,21.17433738708496,21.17433738708496,0.6947446465492249
19,,,,21.140239715576172,21.140239715576172,0.6938012838363647
20,,,,21.099685668945312,21.099685668945312,0.6952002644538879
21,,,,21.24322509765625,21.24322509765625,0.6985481977462769
22,,,,21.177766799926758,21.177766799926758,0.696638822555542
23,,,,21.3031063079834,21.3031063079834,0.699349582195282
24,,,,21.661212921142578,21.661212921142578,0.7181218862533569
25,,,,21.0440731048584,21.0440731048584,0.6892863512039185
26,,,,21.14134979248047,21.14134979248047,0.7024854421615601
27,,,,21.192840576171875,21.192840576171875,0.7002086639404297
28,,,,21.33461570739746,21.33461570739746,0.7071598172187805
29,,,,21.307464599609375,21.307464599609375,0.7024660706520081
30,,,,21.146766662597656,21.146766662597656,0.6997154951095581
31,,,,21.30313491821289,21.30313491821289,0.7102465629577637
32,,,,21.199281692504883,21.199281692504883,0.7016136050224304
33,,,,21.136991500854492,21.136991500854492,0.6987628936767578
34,,,,20.875246047973633,20.875246047973633,0.6954867839813232
