step,train/loss,train/psnr,val/avg_psnr,val/imagenet-weather_psnr,val/imagenet-weather_ssim
0,0.41462811827659607,10.298388481140137,17.685209274291992,17.685209274291992,0.7035918831825256
1,,,17.89369773864746,17.89369773864746,0.6961835026741028
2,,,17.672666549682617,17.672666549682617,0.6688213348388672
3,,,17.902021408081055,17.902021408081055,0.6944249868392944
4,,,18.207326889038086,18.207326889038086,0.7068531513214111
5,,,18.55308723449707,18.55308723449707,0.7166632413864136
6,,,18.272994995117188,18.272994995117188,0.7081871032714844
7,,,18.307619094848633,18.307619094848633,0.7030948400497437
8,,,18.42854881286621,18.42854881286621,0.7000408172607422
9,,,17.901622772216797,17.901622772216797,0.6862684488296509
10,,,17.604515075683594,17.604515075683594,0.6825495362281799
11,,,18.349504470825195,18.349504470825195,0.7018517255783081
12,,,18.966869354248047,18.966869354248047,0.7268412113189697
13,,,18.73046875,18.73046875,0.7109454870223999
14,,,18.42902946472168,18.42902946472168,0.6999353170394897
15,,,18.505151748657227,18.505151748657227,0.7012688517570496
16,,,18.505075454711914,18.505075454711914,0.6955170631408691
17,,,18.63658332824707,18.63658332824707,0.7257381677627563
18,,,18.635278701782227,18.635278701782227,0.6992616653442383
19,,,18.602079391479492,18.602079391479492,0.7084178328514099
20,,,18.333267211914062,18.333267211914062,0.6929720044136047
21,,,18.52094078063965,18.52094078063965,0.7092462778091431
22,,,18.83765983581543,18.83765983581543,0.7182672023773193
23,,,18.822154998779297,18.822154998779297,0.71585613489151
24,,,18.8060302734375,18.8060302734375,0.7064722776412964
25,,,18.124988555908203,18.124988555908203,0.6864684820175171
26,,,18.70840835571289,18.70840835571289,0.705098032951355
27,,,18.94684600830078,18.94684600830078,0.7235498428344727
28,,,18.541418075561523,18.541418075561523,0.6999645829200745
29,,,18.58206558227539,18.58206558227539,0.7080689668655396
30,,,18.846920013427734,18.846920013427734,0.7229583859443665
31,,,18.433387756347656,18.433387756347656,0.6980562210083008
32,,,18.909194946289062,18.909194946289062,0.7090635299682617
33,,,18.906408309936523,18.906408309936523,0.7132263779640198
34,,,18.686588287353516,18.686588287353516,0.7025220394134521
35,,,18.958744049072266,18.958744049072266,0.7154539227485657
36,,,18.745132446289062,18.745132446289062,0.7080713510513306
37,,,18.99234962463379,18.99234962463379,0.7194507122039795
38,,,18.88245391845703,18.88245391845703,0.7147300243377686
39,,,18.340089797973633,18.340089797973633,0.6962266564369202
40,,,18.66229820251465,18.66229820251465,0.7042022347450256
41,,,19.07128143310547,19.07128143310547,0.7239980101585388
42,,,18.757476806640625,18.757476806640625,0.702345073223114
43,,,18.743499755859375,18.743499755859375,0.7083224654197693
44,,,18.670392990112305,18.670392990112305,0.6938098669052124
45,,,18.86049461364746,18.86049461364746,0.708014190196991
46,,,19.10886001586914,19.10886001586914,0.721396803855896
47,,,18.866039276123047,18.866039276123047,0.7110106348991394
48,,,18.916366577148438,18.916366577148438,0.7187434434890747
49,,,18.759733200073242,18.759733200073242,0.7151741981506348
50,,,18.91541862487793,18.91541862487793,0.7086728811264038
51,,,18.75178337097168,18.75178337097168,0.710917592048645
52,,,18.447166442871094,18.447166442871094,0.6911771893501282
53,,,18.984088897705078,18.984088897705078,0.7138102650642395
54,,,18.8636474609375,18.8636474609375,0.7039141654968262
55,,,18.786584854125977,18.786584854125977,0.709871768951416
56,,,18.991783142089844,18.991783142089844,0.7195926904678345
57,,,18.782752990722656,18.782752990722656,0.7101920247077942
58,,,18.879539489746094,18.879539489746094,0.7033699154853821
59,,,18.893102645874023,18.893102645874023,0.7116559147834778
60,,,18.83338165283203,18.83338165283203,0.7118726372718811
61,,,19.275527954101562,19.275527954101562,0.7286031246185303
62,,,19.08083724975586,19.08083724975586,0.7191573977470398
63,,,18.9061222076416,18.9061222076416,0.7146634459495544
64,,,18.8553466796875,18.8553466796875,0.7095838189125061
65,,,18.956880569458008,18.956880569458008,0.7110936045646667
66,,,19.25047492980957,19.25047492980957,0.7237284183502197
67,,,19.036848068237305,19.036848068237305,0.7154034376144409
68,,,18.878807067871094,18.878807067871094,0.7045879364013672
69,,,19.199636459350586,19.199636459350586,0.7248947024345398
70,,,18.978187561035156,18.978187561035156,0.7144807577133179
71,,,18.972505569458008,18.972505569458008,0.7137998342514038
72,,,19.000680923461914,19.000680923461914,0.7121774554252625
73,,,18.996240615844727,18.996240615844727,0.7141506671905518
74,,,18.781986236572266,18.781986236572266,0.7081922888755798
75,,,19.024532318115234,19.024532318115234,0.7141661047935486
76,,,18.915081024169922,18.915081024169922,0.709759533405304
77,,,18.93335723876953,18.93335723876953,0.7095403671264648
78,,,18.931446075439453,18.931446075439453,0.7092340588569641
79,,,19.049579620361328,19.049579620361328,0.7155631184577942
80,,,18.867273330688477,18.867273330688477,0.7062156796455383
81,,,19.029863357543945,19.029863357543945,0.7129826545715332
82,,,18.802536010742188,18.802536010742188,0.7025245428085327
83,,,18.928632736206055,18.928632736206055,0.7097070217132568
84,,,19.04029083251953,19.04029083251953,0.7148178219795227
85,,,18.969003677368164,18.969003677368164,0.7111965417861938
86,,,18.893184661865234,18.893184661865234,0.7105751037597656
87,,,18.91245460510254,18.91245460510254,0.7073653936386108
88,,,18.974502563476562,18.974502563476562,0.7141245603561401
89,,,18.998611450195312,18.998611450195312,0.7140029668807983
90,,,18.959842681884766,18.959842681884766,0.7113050818443298
91,,,19.016468048095703,19.016468048095703,0.7120106816291809
92,,,19.010026931762695,19.010026931762695,0.7160768508911133
93,,,18.96114158630371,18.96114158630371,0.7131747007369995
