tag,last_step,last_value,best_min_value,best_step,best_max_value
train/loss,99900,0.1041366457939148,0.07195205986499786,50300,
train/psnr,99900,17.385574340820312,,75700,18.4715633392334
val/avg_psnr,99,18.969865798950195,,61,19.275527954101562
val/imagenet-weather_psnr,99,18.969865798950195,,61,19.275527954101562
val/imagenet-weather_ssim,99,0.711851954460144,,61,0.7286031246185303
