model,val_same_psnr_last,val_same_psnr_best,val_same_psnr_best_step,val_same_ssim_last,val_same_ssim_best,val_same_ssim_best_step,val_avg_psnr_last,val_avg_psnr_best,train_psnr_last,train_loss_last
noise,21.69501304626465,21.824678421020508,51.0,0.7312316298484802,0.7363441586494446,51.0,21.69501304626465,21.824678421020508,15.391324043273926,0.2631971836090088
blur,18.803842544555664,18.85690116882324,92.0,0.5688867568969727,0.5711442232131958,78.0,18.803842544555664,18.85690116882324,15.068334579467772,0.300265222787857
weather,21.040971755981445,21.12860679626465,82.0,0.7782605290412903,0.7810919284820557,75.0,21.040971755981445,21.12860679626465,18.085695266723636,0.2081393450498581
