step,train/domain,train/loss,train/psnr,val/avg_psnr,val/imagenet-weather_psnr,val/imagenet-weather_ssim
0,12.0,0.4707995057106018,11.4680757522583,15.890423774719238,15.890423774719238,0.46412235498428345
1,,,,17.110103607177734,17.110103607177734,0.5246178507804871
2,,,,17.6182804107666,17.6182804107666,0.5594388246536255
3,,,,17.73931312561035,17.73931312561035,0.5741391181945801
4,,,,17.941226959228516,17.941226959228516,0.5832002758979797
5,,,,17.981056213378906,17.981056213378906,0.5986279845237732
6,,,,18.161468505859375,18.161468505859375,0.6010544300079346
7,,,,17.986021041870117,17.986021041870117,0.5993898510932922
8,,,,18.497888565063477,18.497888565063477,0.6295400261878967
9,,,,18.170467376708984,18.170467376708984,0.6235050559043884
10,,,,18.694673538208008,18.694673538208008,0.6473342776298523
11,,,,18.66545295715332,18.66545295715332,0.6495434641838074
12,,,,18.70111846923828,18.70111846923828,0.6510936617851257
13,,,,19.050840377807617,19.050840377807617,0.6707277297973633
14,,,,18.728368759155273,18.728368759155273,0.6471817493438721
15,,,,18.926586151123047,18.926586151123047,0.6701025366783142
16,,,,18.987215042114258,18.987215042114258,0.6730425357818604
17,,,,18.99956703186035,18.99956703186035,0.675574779510498
18,,,,19.50322914123535,19.50322914123535,0.6953301429748535
19,,,,19.35211181640625,19.35211181640625,0.6897748708724976
20,,,,19.287508010864258,19.287508010864258,0.6933287978172302
21,,,,19.03395652770996,19.03395652770996,0.6770349144935608
22,,,,19.38266944885254,19.38266944885254,0.6961512565612793
23,,,,19.230850219726562,19.230850219726562,0.6958106160163879
24,,,,19.51960563659668,19.51960563659668,0.7044468522071838
25,,,,19.503170013427734,19.503170013427734,0.7042860984802246
26,,,,19.504772186279297,19.504772186279297,0.7089698314666748
27,,,,19.79052734375,19.79052734375,0.7212371826171875
28,,,,19.713455200195312,19.713455200195312,0.7146646976470947
29,,,,19.768068313598633,19.768068313598633,0.7199085354804993
30,,,,19.554197311401367,19.554197311401367,0.7099462747573853
31,,,,20.172626495361328,20.172626495361328,0.7388848662376404
32,,,,20.03937339782715,20.03937339782715,0.7328857779502869
33,,,,20.01397705078125,20.01397705078125,0.7266315817832947
34,,,,19.987895965576172,19.987895965576172,0.7344667911529541
35,,,,20.061864852905273,20.061864852905273,0.7369908690452576
36,,,,19.735862731933594,19.735862731933594,0.719448447227478
37,,,,19.91887664794922,19.91887664794922,0.7253767251968384
38,,,,20.223161697387695,20.223161697387695,0.7474746704101562
39,,,,20.438352584838867,20.438352584838867,0.7575132846832275
40,,,,20.233015060424805,20.233015060424805,0.7432391047477722
41,,,,20.227712631225586,20.227712631225586,0.751872718334198
42,,,,20.407073974609375,20.407073974609375,0.7489826679229736
43,,,,20.096345901489258,20.096345901489258,0.745345413684845
44,,,,20.575557708740234,20.575557708740234,0.7588420510292053
45,,,,19.97504425048828,19.97504425048828,0.744731605052948
46,,,,20.640399932861328,20.640399932861328,0.7605209946632385
47,,,,20.382431030273438,20.382431030273438,0.7503522634506226
48,,,,20.588829040527344,20.588829040527344,0.7599586248397827
49,,,,20.439367294311523,20.439367294311523,0.7557264566421509
50,,,,20.62409782409668,20.62409782409668,0.7587895393371582
51,,,,20.583324432373047,20.583324432373047,0.7592253684997559
52,,,,20.844554901123047,20.844554901123047,0.7661489844322205
53,,,,20.38750457763672,20.38750457763672,0.7495393753051758
54,,,,20.531532287597656,20.531532287597656,0.7556767463684082
55,,,,20.642902374267578,20.642902374267578,0.7569654583930969
56,,,,20.4261474609375,20.4261474609375,0.7631915211677551
57,,,,20.547182083129883,20.547182083129883,0.7592153549194336
58,,,,20.87291145324707,20.87291145324707,0.7697184681892395
59,,,,20.75570297241211,20.75570297241211,0.766861081123352
60,,,,20.887712478637695,20.887712478637695,0.7747992277145386
61,,,,20.92162322998047,20.92162322998047,0.7753583192825317
62,,,,20.75473403930664,20.75473403930664,0.7664308547973633
63,,,,20.60103416442871,20.60103416442871,0.7603055834770203
64,,,,20.789819717407227,20.789819717407227,0.7667065262794495
65,,,,20.676164627075195,20.676164627075195,0.7676599025726318
66,,,,20.684324264526367,20.684324264526367,0.7660811543464661
67,,,,20.95854377746582,20.95854377746582,0.7760068774223328
68,,,,21.00766944885254,21.00766944885254,0.7761498689651489
69,,,,20.913379669189453,20.913379669189453,0.7718549370765686
70,,,,20.873220443725586,20.873220443725586,0.7697364687919617
71,,,,20.927812576293945,20.927812576293945,0.771857500076294
72,,,,20.859291076660156,20.859291076660156,0.7729040384292603
73,,,,20.67458724975586,20.67458724975586,0.7662456631660461
74,,,,20.816022872924805,20.816022872924805,0.7685721516609192
