tag,last_step,last_value,best_min_value,best_step,best_max_value
train/loss,99900,0.13216014206409454,0.07627131044864655,95300,
train/psnr,99900,15.85641098022461,,26100,18.15935707092285
val/avg_psnr,99,18.23923110961914,,58,18.366291046142578
val/imagenet-blur_psnr,99,18.23923110961914,,58,18.366291046142578
val/imagenet-blur_ssim,99,0.5366061329841614,,77,0.5409578084945679
