step,train/loss,train/psnr,val/avg_psnr,val/imagenet-blur_psnr,val/imagenet-blur_ssim
0,0.30972227454185486,11.479330062866211,17.041484832763672,17.041484832763672,0.463448703289032
1,,,16.93067741394043,16.93067741394043,0.45180490612983704
2,,,17.232345581054688,17.232345581054688,0.46484479308128357
3,,,17.453842163085938,17.453842163085938,0.4718056321144104
4,,,17.494958877563477,17.494958877563477,0.48234057426452637
5,,,17.564651489257812,17.564651489257812,0.48080310225486755
6,,,17.334197998046875,17.334197998046875,0.47634825110435486
7,,,17.92835807800293,17.92835807800293,0.5064296126365662
8,,,17.65392303466797,17.65392303466797,0.4941585063934326
9,,,17.778324127197266,17.778324127197266,0.500523030757904
10,,,17.776409149169922,17.776409149169922,0.508725643157959
11,,,17.645065307617188,17.645065307617188,0.4972374439239502
12,,,17.53990936279297,17.53990936279297,0.49227964878082275
13,,,17.79730224609375,17.79730224609375,0.5047011375427246
14,,,17.73515510559082,17.73515510559082,0.5034740567207336
15,,,17.59432029724121,17.59432029724121,0.5005527138710022
16,,,17.532848358154297,17.532848358154297,0.5025219917297363
17,,,17.98625373840332,17.98625373840332,0.5171850919723511
18,,,17.789875030517578,17.789875030517578,0.5090485215187073
19,,,17.982431411743164,17.982431411743164,0.5166516304016113
20,,,18.00418472290039,18.00418472290039,0.5189870595932007
21,,,17.82968521118164,17.82968521118164,0.5110806226730347
22,,,18.10683250427246,18.10683250427246,0.524768590927124
23,,,17.679609298706055,17.679609298706055,0.5056299567222595
24,,,17.92673683166504,17.92673683166504,0.5155698657035828
25,,,18.126646041870117,18.126646041870117,0.5285718441009521
26,,,17.991621017456055,17.991621017456055,0.5217026472091675
27,,,18.061092376708984,18.061092376708984,0.5220943689346313
28,,,18.175716400146484,18.175716400146484,0.5267547369003296
29,,,18.14197540283203,18.14197540283203,0.5267947912216187
30,,,18.009193420410156,18.009193420410156,0.5193586945533752
31,,,18.04134178161621,18.04134178161621,0.5221282839775085
32,,,17.852487564086914,17.852487564086914,0.5176951289176941
33,,,18.195688247680664,18.195688247680664,0.5323742032051086
34,,,18.128520965576172,18.128520965576172,0.528042733669281
35,,,18.090848922729492,18.090848922729492,0.5250260829925537
36,,,17.710376739501953,17.710376739501953,0.5117062330245972
37,,,18.085176467895508,18.085176467895508,0.5264754891395569
38,,,18.093400955200195,18.093400955200195,0.5277634263038635
39,,,17.71818733215332,17.71818733215332,0.5143627524375916
40,,,17.855697631835938,17.855697631835938,0.5148277878761292
41,,,17.88153839111328,17.88153839111328,0.5200987458229065
42,,,18.023815155029297,18.023815155029297,0.5233274102210999
43,,,18.197036743164062,18.197036743164062,0.5350266695022583
44,,,18.223642349243164,18.223642349243164,0.5318873524665833
45,,,18.08169937133789,18.08169937133789,0.5309314131736755
46,,,18.179386138916016,18.179386138916016,0.5318031907081604
47,,,18.171321868896484,18.171321868896484,0.5310778617858887
48,,,17.98076057434082,17.98076057434082,0.5244563817977905
49,,,18.127315521240234,18.127315521240234,0.5294332504272461
50,,,18.245574951171875,18.245574951171875,0.5349335074424744
51,,,18.201974868774414,18.201974868774414,0.5336824059486389
52,,,18.349584579467773,18.349584579467773,0.5398105978965759
53,,,18.06336784362793,18.06336784362793,0.5263698101043701
54,,,18.19535255432129,18.19535255432129,0.5328523516654968
55,,,18.10520362854004,18.10520362854004,0.5266889929771423
56,,,18.21567153930664,18.21567153930664,0.5323386788368225
57,,,18.111019134521484,18.111019134521484,0.5301264524459839
58,,,18.366291046142578,18.366291046142578,0.5393311977386475
59,,,18.27593231201172,18.27593231201172,0.5390197038650513
60,,,17.872207641601562,17.872207641601562,0.5249759554862976
61,,,18.26753807067871,18.26753807067871,0.5367321372032166
62,,,18.091102600097656,18.091102600097656,0.5316982865333557
63,,,18.056154251098633,18.056154251098633,0.5272175073623657
64,,,18.31000518798828,18.31000518798828,0.536990761756897
65,,,18.28134536743164,18.28134536743164,0.5373488068580627
66,,,18.08232307434082,18.08232307434082,0.5298905372619629
