source,target,psnr,ssim
imagenet,ldct,25.27671922956194,0.5864255635866097
imagenet,dibco,5.764523983001709,0.2601465880870819
imagenet,fmd,29.699382325436208,0.7702854878090798
ldct,imagenet,26.056018333082932,0.6780266433935899
ldct,dibco,5.7752251625061035,0.2529130280017853
ldct,fmd,29.73217038905367,0.7734025057325972
dibco,imagenet,26.054974971360426,0.6782531454453101
dibco,ldct,25.267940946987697,0.5875341916190726
dibco,fmd,29.713360329891774,0.7712786051821201
fmd,imagenet,26.05623212561974,0.6786415381064782
fmd,ldct,25.26657576220376,0.5870920486881265
fmd,dibco,5.803711891174316,0.25781169533729553
