source,target,psnr,ssim
imagenet,ldct,25.286870649882726,0.5910867729357311
imagenet,dibco,5.827826023101807,0.25818097591400146
imagenet,fmd,29.732046878084223,0.7737164069363411
dibco,imagenet,26.05421102271447,0.6786514353165259
dibco,ldct,25.287042728492192,0.591389326112611
dibco,fmd,29.71873608041317,0.7723694066417978
fmd,imagenet,26.05590529315655,0.6779631205632136
fmd,ldct,25.275384724140167,0.5909653961259339
fmd,dibco,5.7181196212768555,0.2609872817993164
