tag,last_step,last_value,best_min_value,best_step,best_max_value
train/domain,99900,48.0,,0,48.0
train/loss,99900,0.30026522278785706,0.17838943004608154,75000,
train/psnr,99900,15.068334579467773,,81200,19.118942260742188
val/avg_psnr,99,18.803842544555664,,92,18.856901168823242
val/imagenet-blur_psnr,99,18.803842544555664,,92,18.856901168823242
val/imagenet-blur_ssim,99,0.5688867568969727,,78,0.5711442232131958
