step,train/domain,train/loss,train/psnr,val/avg_psnr,val/imagenet-blur_psnr,val/imagenet-blur_ssim
0,48.0,0.5137426257133484,10.774395942687988,16.480606079101562,16.480606079101562,0.3927307426929474
1,,,,16.509187698364258,16.509187698364258,0.40151023864746094
2,,,,16.81281089782715,16.81281089782715,0.4076657295227051
3,,,,17.12428092956543,17.12428092956543,0.43019577860832214
4,,,,17.130929946899414,17.130929946899414,0.4339439272880554
5,,,,17.049633026123047,17.049633026123047,0.43331125378608704
6,,,,17.1031494140625,17.1031494140625,0.4377082884311676
7,,,,17.29612922668457,17.29612922668457,0.449811190366745
8,,,,17.250850677490234,17.250850677490234,0.45231369137763977
9,,,,17.27410888671875,17.27410888671875,0.45158496499061584
10,,,,17.45825958251953,17.45825958251953,0.46671727299690247
11,,,,17.44159507751465,17.44159507751465,0.46606874465942383
12,,,,17.47429656982422,17.47429656982422,0.46834245324134827
13,,,,17.4810848236084,17.4810848236084,0.4704791307449341
14,,,,17.604528427124023,17.604528427124023,0.47949936985969543
15,,,,17.41458511352539,17.41458511352539,0.4703904092311859
16,,,,17.576688766479492,17.576688766479492,0.48094868659973145
17,,,,17.620689392089844,17.620689392089844,0.4800022840499878
18,,,,17.63652801513672,17.63652801513672,0.48714494705200195
19,,,,17.65303611755371,17.65303611755371,0.4901547133922577
20,,,,17.686134338378906,17.686134338378906,0.489178866147995
21,,,,17.773366928100586,17.773366928100586,0.49591967463493347
22,,,,17.820297241210938,17.820297241210938,0.49723759293556213
23,,,,17.845413208007812,17.845413208007812,0.49845680594444275
24,,,,17.681108474731445,17.681108474731445,0.4931027889251709
25,,,,17.799312591552734,17.799312591552734,0.5022708177566528
26,,,,17.778911590576172,17.778911590576172,0.4973737895488739
27,,,,17.985694885253906,17.985694885253906,0.508531391620636
28,,,,17.943023681640625,17.943023681640625,0.5056890845298767
29,,,,18.06636619567871,18.06636619567871,0.513112485408783
30,,,,17.998737335205078,17.998737335205078,0.5103363394737244
31,,,,18.256895065307617,18.256895065307617,0.5227218270301819
32,,,,18.136764526367188,18.136764526367188,0.5216241478919983
33,,,,18.021448135375977,18.021448135375977,0.5120358467102051
34,,,,18.24360466003418,18.24360466003418,0.5232183337211609
35,,,,18.079132080078125,18.079132080078125,0.5189415812492371
36,,,,17.919538497924805,17.919538497924805,0.5093443393707275
37,,,,18.240806579589844,18.240806579589844,0.527222752571106
38,,,,18.174156188964844,18.174156188964844,0.5263806581497192
39,,,,18.062576293945312,18.062576293945312,0.5202642679214478
40,,,,18.273250579833984,18.273250579833984,0.5342125296592712
41,,,,18.10437774658203,18.10437774658203,0.5191136002540588
42,,,,18.321697235107422,18.321697235107422,0.5315814018249512
43,,,,18.37267303466797,18.37267303466797,0.5342344641685486
44,,,,18.255571365356445,18.255571365356445,0.5266356468200684
45,,,,18.287477493286133,18.287477493286133,0.5295155048370361
46,,,,18.261404037475586,18.261404037475586,0.5351392030715942
47,,,,18.29165267944336,18.29165267944336,0.5313977003097534
48,,,,18.405176162719727,18.405176162719727,0.5381096005439758
49,,,,18.258739471435547,18.258739471435547,0.5322895050048828
50,,,,18.466482162475586,18.466482162475586,0.5468910932540894
51,,,,18.44463348388672,18.44463348388672,0.5424524545669556
52,,,,18.38568115234375,18.38568115234375,0.5399234890937805
53,,,,18.53805160522461,18.53805160522461,0.5469769835472107
54,,,,18.54892349243164,18.54892349243164,0.5497912168502808
55,,,,18.56997299194336,18.56997299194336,0.5514335036277771
56,,,,18.40073585510254,18.40073585510254,0.5460718870162964
57,,,,18.454124450683594,18.454124450683594,0.548610508441925
58,,,,18.54216957092285,18.54216957092285,0.55073481798172
59,,,,18.660385131835938,18.660385131835938,0.5566980838775635
60,,,,18.600343704223633,18.600343704223633,0.5541135668754578
61,,,,18.597448348999023,18.597448348999023,0.5534401535987854
62,,,,18.60470962524414,18.60470962524414,0.5505222678184509
63,,,,18.6342830657959,18.6342830657959,0.5546519756317139
64,,,,18.560726165771484,18.560726165771484,0.5550790429115295
65,,,,18.631322860717773,18.631322860717773,0.5583250522613525
66,,,,18.6649169921875,18.6649169921875,0.5576685070991516
67,,,,18.65890121459961,18.65890121459961,0.5582029819488525
68,,,,18.699209213256836,18.699209213256836,0.55887770652771
69,,,,18.582599639892578,18.582599639892578,0.55771803855896
70,,,,18.761354446411133,18.761354446411133,0.5633552074432373
71,,,,18.733091354370117,18.733091354370117,0.5595424771308899
72,,,,18.72763442993164,18.72763442993164,0.565035879611969
73,,,,18.654027938842773,18.654027938842773,0.5602342486381531
74,,,,18.71661376953125,18.71661376953125,0.561933696269989
75,,,,18.763551712036133,18.763551712036133,0.5646325945854187
76,,,,18.702877044677734,18.702877044677734,0.5609381198883057
77,,,,18.78387451171875,18.78387451171875,0.5661478042602539
78,,,,18.839740753173828,18.839740753173828,0.5711442232131958
79,,,,18.82760238647461,18.82760238647461,0.5690643191337585
