tag,step,wall_time,value
train/loss,0,1769506574.2851813,0.2365279197692871
train/loss,100,1769506574.6239038,0.1497892141342163
train/loss,200,1769506574.9626627,0.12296923249959946
train/loss,300,1769506575.3012247,0.1991344392299652
train/loss,400,1769506575.6459298,0.1854598969221115
train/loss,500,1769506576.0107183,0.10345327854156494
train/loss,600,1769506576.4034946,0.1874614655971527
train/loss,700,1769506576.7944763,0.1938878744840622
train/loss,800,1769506577.1880774,0.155061274766922
train/loss,900,1769506577.583772,0.12333790957927704
train/loss,1000,1769506582.7988384,0.2599030137062073
train/loss,1100,1769506583.138861,0.1137809306383133
train/loss,1200,1769506583.4774175,0.183750718832016
train/loss,1300,1769506583.819477,0.10587327182292938
train/loss,1400,1769506584.1636875,0.23906753957271576
train/loss,1500,1769506584.5048747,0.10719490051269531
train/loss,1600,1769506584.849335,0.12161564826965332
train/loss,1700,1769506585.1917605,0.09443797916173935
train/loss,1800,1769506585.5335886,0.13215859234333038
train/loss,1900,1769506585.876986,0.1482449173927307
train/loss,2000,1769506591.2762918,0.14713068306446075
train/loss,2100,1769506591.5978577,0.14393958449363708
train/loss,2200,1769506591.898298,0.16264906525611877
train/loss,2300,1769506592.202,0.1495683640241623
train/loss,2400,1769506592.5019965,0.18220481276512146
train/loss,2500,1769506592.7923338,0.14071379601955414
train/loss,2600,1769506593.085245,0.1538527011871338
train/loss,2700,1769506593.373295,0.13316816091537476
train/loss,2800,1769506593.6626422,0.14409254491329193
train/loss,2900,1769506593.956047,0.10483327507972717
train/loss,3000,1769506600.2191584,0.12170913070440292
train/loss,3100,1769506600.5837102,0.1612677276134491
train/loss,3200,1769506600.9459422,0.12444578111171722
train/loss,3300,1769506601.305278,0.15369576215744019
train/loss,3400,1769506601.6702135,0.15948227047920227
train/loss,3500,1769506602.0342815,0.10645654052495956
train/loss,3600,1769506602.394187,0.16443735361099243
train/loss,3700,1769506602.756988,0.16607286036014557
train/loss,3800,1769506603.1195052,0.2061803787946701
train/loss,3900,1769506603.4795778,0.15011468529701233
train/loss,4000,1769506608.8129432,0.11513377726078033
train/loss,4100,1769506609.177472,0.1635911464691162
train/loss,4200,1769506609.5360634,0.19511640071868896
train/loss,4300,1769506609.8337643,0.10986670851707458
train/loss,4400,1769506610.1239703,0.10104063153266907
train/loss,4500,1769506610.4101248,0.10728397220373154
train/loss,4600,1769506610.7040799,0.14982661604881287
train/loss,4700,1769506610.9936457,0.2179878056049347
train/loss,4800,1769506611.2814665,0.14494794607162476
train/loss,4900,1769506611.5720456,0.15484876930713654
train/loss,5000,1769506616.3772507,0.12057435512542725
train/loss,5100,1769506616.673423,0.15654371678829193
train/loss,5200,1769506616.97598,0.20115453004837036
train/loss,5300,1769506617.3073058,0.10377812385559082
train/loss,5400,1769506617.6352289,0.10328459739685059
train/loss,5500,1769506617.9637105,0.11069703102111816
train/loss,5600,1769506618.289535,0.13749971985816956
train/loss,5700,1769506618.6157696,0.11600498855113983
train/loss,5800,1769506618.9396863,0.21407382190227509
train/loss,5900,1769506619.271112,0.19508306682109833
train/loss,6000,1769506624.2635605,0.15294542908668518
train/loss,6100,1769506624.5926375,0.09487538039684296
train/loss,6200,1769506624.9207764,0.12089338898658752
train/loss,6300,1769506625.2493408,0.20839516818523407
train/loss,6400,1769506625.5794246,0.13816790282726288
train/loss,6500,1769506625.9066715,0.17613300681114197
train/loss,6600,1769506626.2353694,0.13958142697811127
train/loss,6700,1769506626.564431,0.11182602494955063
train/loss,6800,1769506626.892764,0.16890832781791687
train/loss,6900,1769506627.2200744,0.1298210322856903
train/loss,7000,1769506632.4194653,0.11668505519628525
train/loss,7100,1769506632.7507334,0.09403043985366821
train/loss,7200,1769506633.0814884,0.09420957416296005
train/loss,7300,1769506633.4093904,0.1381760835647583
train/loss,7400,1769506633.7355018,0.1292334794998169
train/loss,7500,1769506634.0533476,0.17937776446342468
train/loss,7600,1769506634.3309946,0.22859033942222595
train/loss,7700,1769506634.6098866,0.1466229259967804
train/loss,7800,1769506634.8887746,0.18782006204128265
train/loss,7900,1769506635.1677198,0.1284702718257904
train/loss,8000,1769506639.7917485,0.175838440656662
train/loss,8100,1769506640.080335,0.13589081168174744
train/loss,8200,1769506640.3643072,0.10385217517614365
train/loss,8300,1769506640.644773,0.2192457914352417
train/loss,8400,1769506640.927048,0.15426158905029297
train/loss,8500,1769506641.222997,0.11141906678676605
train/loss,8600,1769506641.5250628,0.12334869801998138
train/loss,8700,1769506641.8494875,0.21171478927135468
train/loss,8800,1769506642.191524,0.08522861450910568
train/loss,8900,1769506642.5126941,0.11205851286649704
train/loss,9000,1769506647.2004428,0.16380496323108673
train/loss,9100,1769506647.4970791,0.1589660346508026
train/loss,9200,1769506647.7944357,0.10102556645870209
train/loss,9300,1769506648.1224089,0.14399679005146027
train/loss,9400,1769506648.4588711,0.13035964965820312
train/loss,9500,1769506648.783645,0.14020448923110962
train/loss,9600,1769506649.110846,0.1043669804930687
train/loss,9700,1769506649.4208455,0.11251358687877655
train/loss,9800,1769506649.699508,0.12391640990972519
train/loss,9900,1769506649.9804702,0.11017721891403198
train/loss,10000,1769506654.7245529,0.10512559860944748
train/loss,10100,1769506655.0147555,0.18991748988628387
train/loss,10200,1769506655.2987719,0.1457374095916748
train/loss,10300,1769506655.5807827,0.07648539543151855
train/loss,10400,1769506655.8645487,0.1574525237083435
train/loss,10500,1769506656.1503253,0.18578314781188965
train/loss,10600,1769506656.43423,0.1690780371427536
train/loss,10700,1769506656.7226477,0.14277014136314392
