tag,last_step,last_value,best_min_value,best_step,best_max_value
train/loss,99900,0.16873666644096375,0.08759300410747528,11600,
train/psnr,99900,14.966157913208008,,87400,17.73141098022461
val/avg_psnr,99,16.53809356689453,,67,16.601879119873047
val/imagenet-blur_psnr,99,16.07842254638672,,72,16.20076560974121
val/imagenet-blur_ssim,99,0.4202418029308319,,0,0.43942347168922424
val/imagenet-noise_psnr,99,18.081815719604492,,73,18.246200561523438
val/imagenet-noise_ssim,99,0.6065182089805603,,19,0.6177250146865845
val/imagenet-weather_psnr,99,15.454042434692383,,56,15.534995079040527
val/imagenet-weather_ssim,99,0.5738207101821899,,0,0.6359844207763672
